id | url | detected_activity | severity | timestamp
133 | http://shopj57b64bbxtqs3ji4qj7bwmzomxa7y6epky3gu2n5qqhy26slejad.onion/product-category/drugs/ | hidden marketplace | Medium | 2024-11-22 11:11:25
134 | http://kjsba5xgjjatgwpgcyybbsjcc2bzsnjbpt6xnl4ginhqkeqlkikemzid.onion/product/buy-ak-47-weed-online/ | cocaine | High | 2024-11-22 11:14:00
135 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-12-04 19:24:09
136 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-12-04 19:50:01
137 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-12-04 19:57:04
138 | http://hackkvt6fxen6mpxofdb7sf5hv4of4a6ymirxl2ft3mnijhv4rb5v5yd.onion/?product_tag=uncut-fishscale-cocaine | carding | High | 2024-12-09 12:15:28
139 | http://xwnocztikxwixhaqwbw6hoxulfhbwnyr5ywp2pi3taerynbe4ctk5cyd.onion/product-category/cocaine/ | cocaine | High | 2024-12-09 12:16:57
140 | http://pharmlwe6trwo3e45ciorakxjhiee4wyki4a7sya3wmxa6lhsjpxrwid.onion/product/cocaine-powderpastecracked/?add_to_wishlist=17841 | substances | High | 2024-12-09 12:26:41
141 | http://fair3trpf5cnwwhzljap64m5chorr3aikprir7pmiac5dansekfivbyd.onion/product/pink-cocaine/?add_to_wishlist=86 | cocaine | High | 2024-12-09 12:34:18
142 | http://222222eibjiehcnezczrhwvnsilrfl6uc32s4efa42o4nty5jlh7muyd.onion/shop/cocaine-1-gram/ | substances | High | 2024-12-09 12:37:26
143 | http://tordqmtpdec4zhpasgbeye27chzfs2oa3zkfn7up54tnitjupu57qrqd.onion/indexb546.html?product=cocaine | ecstasy | High | 2024-12-09 12:38:22
